headers	province	region
EPI_ISL_2695995|B/Neimenggu-Dongsheng/1233/2021|2021-03-23	Neimenggu	North
EPI_ISL_2695997|B/Guangxi-Xixiangtang/1259/2021|2021-03-30	Guangxi	South
EPI_ISL_2695999|B/Qinghai-Yushu/1146/2021|2021-03-31	Qinghai	Northwest
EPI_ISL_2696000|B/Neimenggu-Donghe/1323/2021|2021-03-31	Neimenggu	North
EPI_ISL_2696001|B/Hubei-Wujiagang/1375/2021|2021-04-01	Hubei	Central
EPI_ISL_2696002|B/Hubei-Wujiagang/1375/2021|2021-04-01	Hubei	Central
EPI_ISL_2696003|B/Qinghai-Yushu/1161/2021|2021-04-04	Qinghai	Northwest
EPI_ISL_2696004|B/Hunan-Yuhua/1523/2021|2021-04-05	Hunan	Central
EPI_ISL_2696005|B/Neimenggu-Dongsheng/1276/2021|2021-04-05	Neimenggu	North
EPI_ISL_2696006|B/Fujian-Siming/1339/2021|2021-04-05	Fujian	East
EPI_ISL_2696007|B/Neimenggu-Dongsheng/1277/2021|2021-04-05	Neimenggu	North
EPI_ISL_2696013|B/Hunan-Daxiang/1465/2021|2021-04-12	Hunan	Central
EPI_ISL_2696014|B/Henan-Zhaoling/1269/2021|2021-04-12	Henan	Central
EPI_ISL_2696015|B/Zhejiang-Yongkang/1370/2021|2021-04-12	Zhejiang	East
EPI_ISL_2696018|B/Sichuan-Qingyang/1885/2021|2021-04-12	Sichuan	Southwest
EPI_ISL_2696020|B/Hunan-Tianyuan/386/2021|2021-04-15	Hunan	Central
EPI_ISL_2696025|B/Hubei-Jiangan/1403/2021|2021-04-19	Hubei	Central
EPI_ISL_2696027|B/Hunan-Tianyuan/338/2021|2021-03-16	Hunan	Central
EPI_ISL_2696028|B/Ningxia-Shapotou/1214/2021|2021-03-16	Ningxia	Northwest
EPI_ISL_2696029|B/Guangdong-Zhongshan/1225/2021|2021-03-16	Guangdong	South
EPI_ISL_2696030|B/Jiangxi-Donghu/1468/2021|2021-03-16	Jiangxi	East
EPI_ISL_2696044|B/Shanxi-Xinghualing/1365/2021|2021-03-17	Shanxi	North
EPI_ISL_2696045|B/Fujian-Zhangpu/34/2021|2021-03-22	Fujian	East
EPI_ISL_2696049|B/Neimenggu-Dongsheng/1233/2021|2021-03-23	Neimenggu	North
EPI_ISL_2696051|B/Chongqing-Qianjiang/1315/2021|2021-03-28	Chongqing	Southwest
