headers	province	region
EPI_ISL_4520768|B/Jiangxi-Donghu/11531/2021|2021-08-18	Jiangxi	East
EPI_ISL_4520769|B/Jiangxi-Donghu/11455/2021|2021-08-04	Jiangxi	East
EPI_ISL_4520770|B/Jiangxi-Xihu/1756/2021|2021-08-11	Jiangxi	East
EPI_ISL_4520771|B/Jiangxi-Linchuan/11029/2021|2021-08-09	Jiangxi	East
EPI_ISL_4520772|B/Jiangxi-Linchuan/1969/2021|2021-08-03	Jiangxi	East
EPI_ISL_4520773|B/Jiangxi-Anyuan/1750/2021|2021-08-04	Jiangxi	East
EPI_ISL_4520775|B/Jiangxi-Zhanggong/1767/2021|2021-08-02	Jiangxi	East
EPI_ISL_4520776|B/Guangdong-Chikan/1649/2021|2021-08-11	Guangdong	South
EPI_ISL_4520777|B/Hubei-Maojian/11629/2021|2021-08-22	Hubei	Central
EPI_ISL_4520779|B/Hubei-Danjiangkou/2380/2021|2021-08-16	Hubei	Central
EPI_ISL_5332907|B/Henan-Xigong/1118/2021|2021-02-17	Henan	Central
EPI_ISL_979902|B/Jiangxi-Zhanggong/15/2021|2021-01-04	Jiangxi	East
EPI_ISL_979927|B/Jiangxi-Jizhou/112/2021|2021-01-06	Jiangxi	East
EPI_ISL_979928|B/Jiangxi-Jizhou/115/2021|2021-01-06	Jiangxi	East
EPI_ISL_979929|B/Jiangxi-Jizhou/119/2021|2021-01-06	Jiangxi	East
EPI_ISL_979931|B/Jiangxi-Jizhou/135/2021|2021-01-06	Jiangxi	East
EPI_ISL_979942|B/Jiangxi-Zhanggong/131/2021|2021-01-11	Jiangxi	East
